Quarter,Rank,Brand,Parent_Company,Ticker,QoQ_Change,Notes
Q1 2026,1,Chanel,Private,,NEW,First time #1; Matthieu Blazy debut effect
Q1 2026,2,Saint Laurent,Kering,KER.PA,-1,
Q1 2026,3,Dior,LVMH,MC.PA,NEW,
Q1 2026,4,Miu Miu,Prada Group,1913.HK,-2,
Q1 2026,5,Gucci,Kering,KER.PA,+4,
Q1 2026,6,Ralph Lauren,Ralph Lauren Corp,RL,-2,
Q1 2026,7,Prada,Prada Group,1913.HK,-2,
Q1 2026,8,Coach,Tapestry,TPR,-2,
Q1 2026,9,Burberry,Burberry Group,BRBY.L,-1,
Q1 2026,10,COS,H&M Group,HM-B.ST,-7,
Q1 2026,11,The Row,Private,,-4,
Q1 2026,12,Versace,Capri Holdings,CPRI,+2,
Q1 2026,13,Moncler,Moncler,MONC.MI,-3,
Q1 2026,14,Chloe,Richemont,CFR.SW,-3,
Q1 2026,15,Bottega Veneta,Kering,KER.PA,-3,
Q1 2026,16,Loewe,LVMH,MC.PA,-3,
Q1 2026,17,Stone Island,Moncler,MONC.MI,-2,
Q1 2026,18,Massimo Dutti,Inditex,ITX.MC,-2,
Q1 2026,19,Fendi,LVMH,MC.PA,RE-ENTRY,
Q1 2026,20,Celine,LVMH,MC.PA,NEW,Michael Rider debut
