quarter,rank,brand,list_size,source_url,source_note,year,qtr,percentile_rank,source_status,brand_qtr_baseline,adj_heat,parent,ticker_local
2020Q2,3,Nike,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.85,ok,0.5,0.35,"Nike, Inc.",NKE US
2020Q2,4,Prada,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.8,ok,0.5166666666666667,0.2833333333333333,Prada Group,1913 HK
2020Q2,5,Balenciaga,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.75,ok,0.7666666666666666,-0.016666666666666607,Kering,KER FP
2020Q2,6,Moncler,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.7,ok,0.425,0.27499999999999997,Moncler SpA,MONC IM
2020Q2,7,Fendi,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.65,ok,0.5,0.15000000000000002,LVMH,MC FP
2020Q2,8,Valentino,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.6,ok,0.7,-0.09999999999999998,Mayhoola (private),
2020Q2,9,Saint Laurent,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.55,ok,0.525,0.025000000000000022,Kering,KER FP
2020Q2,10,Bottega Veneta,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.5,ok,0.5,0.0,Kering,KER FP
2020Q2,11,Givenchy,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.44999999999999996,ok,0.45,-5.551115123125783e-17,LVMH,MC FP
2020Q2,12,Stone Island,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.4,ok,0.5,-0.09999999999999998,Moncler SpA (since 2021),MONC IM
2020Q2,13,Jacquemus,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.35,ok,0.35,0.0,Jacquemus (private),
2020Q2,14,Raf Simons,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.30000000000000004,ok,0.30000000000000004,0.0,,
2020Q2,15,Burberry,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.25,ok,0.325,-0.07500000000000001,Burberry Group,BRBY LN
2020Q2,16,Loewe,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.19999999999999996,ok,0.19999999999999996,0.0,LVMH,MC FP
2020Q2,17,Rick Owens,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.15000000000000002,ok,0.15000000000000002,0.0,,
2020Q2,18,Thom Browne,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.09999999999999998,ok,0.09999999999999998,0.0,,
2020Q2,19,Fear of God?,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.050000000000000044,to-verify,0.050000000000000044,0.0,,
2020Q2,20,Marine Serre?,20,https://www.lyst.com/data/the-lyst-index/q220/,"Official Lyst page: Q2 2020 (Top-20, two tail entries to verify)",2020,2,0.0,to-verify,0.0,0.0,,
